vd	V(out)
-1.000000000000000e-02	2.214696e+00
-9.990000000000001e-03	2.214633e+00
-9.980000000000001e-03	2.214570e+00
-9.970000000000001e-03	2.214506e+00
-9.960000000000002e-03	2.214443e+00
-9.950000000000002e-03	2.214380e+00
-9.940000000000003e-03	2.214317e+00
-9.930000000000003e-03	2.214253e+00
-9.920000000000003e-03	2.214190e+00
-9.910000000000004e-03	2.214126e+00
-9.900000000000004e-03	2.214063e+00
-9.890000000000005e-03	2.213999e+00
-9.880000000000005e-03	2.213936e+00
-9.870000000000006e-03	2.213872e+00
-9.860000000000006e-03	2.213808e+00
-9.850000000000006e-03	2.213744e+00
-9.840000000000007e-03	2.213680e+00
-9.830000000000007e-03	2.213616e+00
-9.820000000000008e-03	2.213552e+00
-9.810000000000008e-03	2.213488e+00
-9.800000000000008e-03	2.213424e+00
-9.790000000000009e-03	2.213360e+00
-9.780000000000009e-03	2.213295e+00
-9.770000000000010e-03	2.213231e+00
-9.760000000000010e-03	2.213166e+00
-9.750000000000010e-03	2.213102e+00
-9.740000000000011e-03	2.213037e+00
-9.730000000000011e-03	2.212973e+00
-9.720000000000012e-03	2.212908e+00
-9.710000000000012e-03	2.212843e+00
-9.700000000000012e-03	2.212778e+00
-9.690000000000013e-03	2.212713e+00
-9.680000000000013e-03	2.212649e+00
-9.670000000000014e-03	2.212584e+00
-9.660000000000014e-03	2.212518e+00
-9.650000000000014e-03	2.212453e+00
-9.640000000000015e-03	2.212388e+00
-9.630000000000015e-03	2.212323e+00
-9.620000000000016e-03	2.212258e+00
-9.610000000000016e-03	2.212192e+00
-9.600000000000017e-03	2.212127e+00
-9.590000000000017e-03	2.212061e+00
-9.580000000000017e-03	2.211996e+00
-9.570000000000018e-03	2.211930e+00
-9.560000000000018e-03	2.211864e+00
-9.550000000000019e-03	2.211798e+00
-9.540000000000019e-03	2.211732e+00
-9.530000000000019e-03	2.211667e+00
-9.520000000000020e-03	2.211601e+00
-9.510000000000020e-03	2.211535e+00
-9.500000000000021e-03	2.211468e+00
-9.490000000000021e-03	2.211402e+00
-9.480000000000021e-03	2.211336e+00
-9.470000000000022e-03	2.211269e+00
-9.460000000000022e-03	2.211203e+00
-9.450000000000023e-03	2.211137e+00
-9.440000000000023e-03	2.211070e+00
-9.430000000000023e-03	2.211003e+00
-9.420000000000024e-03	2.210937e+00
-9.410000000000024e-03	2.210870e+00
-9.400000000000025e-03	2.210803e+00
-9.390000000000025e-03	2.210736e+00
-9.380000000000025e-03	2.210669e+00
-9.370000000000026e-03	2.210602e+00
-9.360000000000026e-03	2.210535e+00
-9.350000000000027e-03	2.210468e+00
-9.340000000000027e-03	2.210401e+00
-9.330000000000028e-03	2.210334e+00
-9.320000000000028e-03	2.210266e+00
-9.310000000000028e-03	2.210199e+00
-9.300000000000029e-03	2.210131e+00
-9.290000000000029e-03	2.210064e+00
-9.280000000000030e-03	2.209996e+00
-9.270000000000030e-03	2.209928e+00
-9.260000000000030e-03	2.209861e+00
-9.250000000000031e-03	2.209793e+00
-9.240000000000031e-03	2.209725e+00
-9.230000000000032e-03	2.209657e+00
-9.220000000000032e-03	2.209589e+00
-9.210000000000032e-03	2.209520e+00
-9.200000000000033e-03	2.209452e+00
-9.190000000000033e-03	2.209384e+00
-9.180000000000034e-03	2.209316e+00
-9.170000000000034e-03	2.209247e+00
-9.160000000000034e-03	2.209179e+00
-9.150000000000035e-03	2.209110e+00
-9.140000000000035e-03	2.209041e+00
-9.130000000000036e-03	2.208973e+00
-9.120000000000036e-03	2.208904e+00
-9.110000000000036e-03	2.208835e+00
-9.100000000000037e-03	2.208766e+00
-9.090000000000037e-03	2.208697e+00
-9.080000000000038e-03	2.208628e+00
-9.070000000000038e-03	2.208559e+00
-9.060000000000039e-03	2.208490e+00
-9.050000000000039e-03	2.208420e+00
-9.040000000000039e-03	2.208351e+00
-9.030000000000040e-03	2.208282e+00
-9.020000000000040e-03	2.208212e+00
-9.010000000000041e-03	2.208142e+00
-9.000000000000041e-03	2.208073e+00
-8.990000000000041e-03	2.208003e+00
-8.980000000000042e-03	2.207933e+00
-8.970000000000042e-03	2.207863e+00
-8.960000000000043e-03	2.207793e+00
-8.950000000000043e-03	2.207723e+00
